block,trial,type,onsetDateTime,onsetPOSIX,duration_s,f_assr,beatFreq,note
ASSR_BASELINE,1,ASSR,13-Nov-2025 13:03:59,1763057039.37941,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,2,ASSR,13-Nov-2025 13:04:02,1763057042.40557,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,3,ASSR,13-Nov-2025 13:04:05,1763057045.42706,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,4,ASSR,13-Nov-2025 13:04:08,1763057048.45026,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,5,ASSR,13-Nov-2025 13:04:11,1763057051.47275,20,40,0,ASSR same modulation both ears
BINAURAL_ASSR,1,ASSR_BINAURAL,13-Nov-2025 13:04:14,1763057054.49662,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,2,ASSR_BINAURAL,13-Nov-2025 13:04:17,1763057057.52768,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,3,ASSR_BINAURAL,13-Nov-2025 13:04:20,1763057060.55739,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,4,ASSR_BINAURAL,13-Nov-2025 13:04:23,1763057063.58791,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,5,ASSR_BINAURAL,13-Nov-2025 13:04:26,1763057066.61563,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,6,ASSR_BINAURAL,13-Nov-2025 13:04:29,1763057069.64325,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,7,ASSR_BINAURAL,13-Nov-2025 13:04:32,1763057072.67071,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,8,ASSR_BINAURAL,13-Nov-2025 13:04:35,1763057075.69925,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,9,ASSR_BINAURAL,13-Nov-2025 13:04:38,1763057078.72673,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,10,ASSR_BINAURAL,13-Nov-2025 13:04:41,1763057081.75568,30,40,7,ASSR binaural beat (L vs R modulation offset)
